Step,Epoch,Training Loss,Learning Rate
1,0.008,2.9988,0.0
2,0.016,3.1888,4e-05
3,0.024,2.9029,8e-05
4,0.032,2.9775,0.00012
5,0.04,2.5391,0.00016
6,0.048,2.2438,0.0002
7,0.056,2.1882,0.000192
8,0.064,1.8076,0.00018400000000000003
9,0.072,1.6717,0.00017600000000000002
10,0.08,1.6278,0.000168
11,0.088,1.5168,0.00016
12,0.096,1.2356,0.000152
13,0.104,1.1585,0.000144
14,0.112,1.4687,0.00013600000000000003
15,0.12,1.405,0.00012800000000000002
16,0.128,1.3727,0.00012
17,0.136,0.896,0.00011200000000000001
18,0.144,1.2098,0.00010400000000000001
19,0.152,1.5912,9.6e-05
20,0.16,1.1648,8.800000000000001e-05
21,0.168,1.244,8e-05
22,0.176,1.0515,7.2e-05
23,0.184,0.9731,6.400000000000001e-05
24,0.192,1.4621,5.6000000000000006e-05
25,0.2,1.3838,4.8e-05
26,0.208,1.2729,4e-05
27,0.216,1.326,3.2000000000000005e-05
28,0.224,1.2484,2.4e-05
29,0.232,1.1974,1.6000000000000003e-05
30,0.24,1.1231,8.000000000000001e-06
